Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
The Dark Knight,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,"2,741,127",Action,Crime,Drama,,,PG-13
The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,"1,899,013",Action,Adventure,Drama,,,PG-13
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,Shameik Moore,"185,491",Animation,Action,Adventure,,,PG
Inception,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"2,432,436",Action,Adventure,Sci-Fi,,,PG-13
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,"1,927,425",Action,Adventure,Drama,,,PG-13
The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,"1,713,772",Action,Adventure,Drama,,,PG-13
The Matrix,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,"1,971,133",Action,Sci-Fi,,,,R
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,"1,329,834",Action,Adventure,Fantasy,,,PG
Soorarai Pottru,Sudha Kongara,Suriya,Paresh Rawal,Aparna Balamurali,"120,033",Action,Drama,,,,TV-MA
Terminator 2: Judgment Day,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,"1,131,068",Action,Sci-Fi,,,,R
Star Wars: Episode IV - A New Hope,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,"1,402,082",Action,Adventure,Fantasy,,,PG
Seven Samurai,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,"354,942",Action,Drama,,,,Not Rated
Harakiri,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,"62,143",Action,Drama,Mystery,,,Not Rated
Sita Ramam,Hanu Raghavapudi,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,"61,432",Action,Drama,Mystery,,,
Gladiator,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,"1,546,170",Action,Adventure,Drama,,,R
Léon: The Professional,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,"1,197,398",Action,Crime,Drama,,,R
Raiders of the Lost Ark,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,"1,003,306",Action,Adventure,,,,PG
